conf_abbr,conference_name,year,name,author_info,article_link,abstract
cvpr,CVPR (Computer Vision),2009,Single Image Haze Removal Using Dark Channel Prior,"Kaiming He, The Chinese University of Hong Kong|; et al.|Jian Sun, Microsoft Research|Xiaoou Tang, The Chinese University of Hong Kong",https://www.semanticscholar.org/paper/db0fd1d8b1ef0bf19a137cd535166ed067455280,"In this paper, we propose a simple but effective image prior—dark channel prior to remove haze from a single input image. The dark channel prior is a kind of statistics of outdoor haze-free images...."
cvpr,CVPR (Computer Vision),2008,Global Stereo Reconstruction under Second Order Smoothness Priors,"Oliver Woodford, University of Oxford|; et al.|Ian Reid, Oxford Brookes University|Philip Torr, University of Oxford|Andrew Fitzgibbon, Microsoft Research",https://www.semanticscholar.org/paper/8e7f51853229843c0056681f97754869032348ee,"Second-order priors on the smoothness of 3D surfaces are a better model of typical scenes than first-order priors. However, stereo reconstruction using global inference algorithms, such as graph-cuts, has not been able to incorporate second-order priors because the triple cliques needed to express them yield intractable (non-submodular) optimization problems. This paper shows that inference with triple cliques can be effectively optimized. Our optimization strategy is a development of recent extensions to a-expansion, based on the ""QPBO"" algorithm [5, 14, 26]. The strategy is to repeatedly merge proposal depth maps using a novel extension of QPBO. Proposal depth maps can come from any source, for example fronto-parallel planes as in a-expansion, or indeed any existing stereo algorithm, with arbitrary parameter settings. Experimental results demonstrate the usefulness of the second-order prior and the efficacy of our optimization framework. An implementation of our stereo framework is available online [34]."
cvpr,CVPR (Computer Vision),2008,Beyond Sliding Windows: Object Localization by Efficient Subwindow Search,"Chistoph H. Lampert, Max-Planck-Institut für Limnologie|; et al.|Matthew B. Blaschko, Max-Planck-Institut für Limnologie|Thomas Hodmann, Google",https://www.semanticscholar.org/paper/54b224478a63e33441c651175c522f3702062fc4,"Most successful object recognition systems rely on binary classification, deciding only if an object is present or not, but not providing information on the actual object location. To perform localization, one can take a sliding window approach, but this strongly increases the computational cost, because the classifier function has to be evaluated over a large set of candidate subwindows. In this paper, we propose a simple yet powerful branch-and-bound scheme that allows efficient maximization of a large class of classifier functions over all possible subimages. It converges to a globally optimal solution typically in sublinear time. We show how our method is applicable to different object detection and retrieval scenarios. The achieved speedup allows the use of classifiers for localization that formerly were considered too slow for this task, such as SVMs with a spatial pyramid kernel or nearest neighbor classifiers based on the chi2-distance. We demonstrate state-of-the-art performance of the resulting systems on the UIUC Cars dataset, the PASCAL VOC 2006 dataset and in the PASCAL VOC 2007 competition."
cvpr,CVPR (Computer Vision),2007,Dynamic 3D Scene Analysis from a Moving Vehicle,"Bastian Leibe, ETH Zurich|; et al.|Nico Cornelis, Katholieke Universiteit Leuven|Kurt COrnelis, Katholieke Universiteit Leuven|Luc Van Gool, ETH Zurich",https://www.semanticscholar.org/paper/82fa8d73891ce6476d58f11d6e3b563af21d0a3a,"In this paper, we present a system that integrates fully automatic scene geometry estimation, 2D object detection, 3D localization, trajectory estimation, and tracking for dynamic scene interpretation from a moving vehicle. Our sole input are two video streams from a calibrated stereo rig on top of a car. From these streams, we estimate structure-from-motion (SfM) and scene geometry in real-time. In parallel, we perform multi-view/multi-category object recognition to detect cars and pedestrians in both camera images. Using the SfM self-localization, 2D object detections are converted to 3D observations, which are accumulated in a world coordinate frame. A subsequent tracking module analyzes the resulting 3D observations to find physically plausible spacetime trajectories. Finally, a global optimization criterion takes object-object interactions into account to arrive at accurate 3D localization and trajectory estimates for both cars and pedestrians. We demonstrate the performance of our integrated system on challenging real-world data showing car passages through crowded city areas."
cvpr,CVPR (Computer Vision),2006,Putting Objects in Perspective,"Derek Hoiem, Carnegie Mellon University|; et al.|Alexei Efros, Carnegie Mellon University|Martial Hebert, Carnegie Mellon University",https://www.semanticscholar.org/paper/baddac96864c86538d3bd8bf495f00f818475a9e,"Image understanding requires not only individually estimating elements of the visual world but also capturing the interplay among them. In this paper, we provide a framework for placing local object detection in the context of the overall 3D scene by modeling the interdependence of objects, surface orientations, and camera viewpoint. Most object detection methods consider all scales and locations in the image as equally likely. We show that with probabilistic estimates of 3D geometry, both in terms of surfaces and world coordinates, we can put objects into perspective and model the scale and location variance in the image. Our approach reflects the cyclical nature of the problem by allowing probabilistic object hypotheses to refine geometry and vice-versa. Our framework allows painless substitution of almost any object detector and is easily extended to include other aspects of image understanding. Our results confirm the benefits of our integrated approach."
cvpr,CVPR (Computer Vision),2005,Real-Time Non-Rigid Surface Detection,"Julien Pilet, École Polytechnique Fédérale de Lausanne|; et al.|Vincent Lepetit, École Polytechnique Fédérale de Lausanne|Pascal Fua, École Polytechnique Fédérale de Lausanne",https://www.semanticscholar.org/paper/9197cc4555826c354722a02b784d24817889d445,"We present a real-time method for detecting deformable surfaces, with no need whatsoever for a priori pose knowledge. Our method starts from a set of wide baseline point matches between an undeformed image of the object and the image in which it is to be detected. The matches are used not only to detect but also to compute a precise mapping from one to the other. The algorithm is robust to large deformations, lighting changes, motion blur, and occlusions. It runs at 10 frames per second on a 2.8 GHz PC and we are not aware of any other published technique that produces similar results. Combining deformable meshes with a well designed robust estimator is key to dealing with the large number of parameters involved in modeling deformable surfaces and rejecting erroneous matches for error rates of up to 95%, which is considerably more than what is required in practice."
cvpr,CVPR (Computer Vision),2004,Programmable Imaging using a Digital Micromirror Array,"Shree K. Nayar, Columbia University|; et al.|Vlad Branzoi, Columbia University|Terry E. Boult, University of Colorado Boulder",https://www.semanticscholar.org/paper/5ca3bb0b4286923efc9bc59a84e3de7225b9c8d3,"We introduce the notion of a programmable imaging system. Such an imaging system provides a human user or a vision system significant control over the radiometric and geometric characteristics of the system. This flexibility is achieved using a programmable array of micro-mirrors. The orientations of the mirrors of the array can be controlled with high precision over space and time. This enables the system to select and modulate rays from the light field based on the needs of the application at hand. We have implemented a programmable imaging system that uses a digital micro-mirror device (DMD), which is used in digital light processing. Although the mirrors of this device can only be positioned in one of two states, we show that our system can be used to implement a wide variety of imaging functions, including, high dynamic range imaging, feature detection, and object recognition. We conclude with a discussion on how a micro-mirror array can be used to efficiently control field of view without the use of moving parts."
cvpr,CVPR (Computer Vision),2003,Object Class Recognition by Unsupervised Scale-Invariant Learning,"Rob Fergus, University of Oxford|; et al.|Pietro Perona, California Institute of Technology|Andrew Zisserman, University of Oxford",https://www.semanticscholar.org/paper/62837ab473124ea43cb8d7c6a4b4ee0f6f14e8c5,"We present a method to learn and recognize object class models from unlabeled and unsegmented cluttered scenes in a scale invariant manner. Objects are modeled as flexible constellations of parts. A probabilistic representation is used for all aspects of the object: shape, appearance, occlusion and relative scale. An entropy-based feature detector is used to select regions and their scale within the image. In learning the parameters of the scale-invariant object model are estimated. This is done using expectation-maximization in a maximum-likelihood setting. In recognition, this model is used in a Bayesian manner to classify images. The flexible nature of the model is demonstrated by excellent results over a range of datasets including geometrically constrained classes (e.g. faces, cars) and flexible objects (such as animals)."
cvpr,CVPR (Computer Vision),2001,Morphable 3D models from video,"Matthew Brand, Mitsubishi Electric Research Laboratories",https://www.semanticscholar.org/paper/b9d8f47ebf3fd68ee6d0e0858c68f1df0c81b47a,"Nonrigid 3D structure-from-motion and 2D optical flow can both be formulated as tensor factorization problems. The two problems can be made equivalent through a noisy affine transform, yielding a combined nonrigid structure-from-intensities problem that we solve via structured matrix decompositions. Often the preconditions for this factorization are violated by image noise and deficiencies of the data visa-vis the sample complexity of the problem. Both issues are remediated with careful use of rank constraints, norm constraints, and integration over uncertainty in the intensity values, yielding novel solutions for SVD under uncertainty, factorization under uncertainty, nonrigid factorization, and subspace optical flow. The resulting integrated algorithm can track and reconstruct in 3D nonrigid surfaces having very little texture, for example the smooth parts of the face. Working with low-resolution low-texture ""found video,"" these methods produce good tracking and 3D reconstruction results where prior algorithms fail."
cvpr,CVPR (Computer Vision),2000,Real-Time Tracking of Non-Rigid Objects using Mean Shift,"Dorin Comaniciu, Siemens Corporate Research|; et al.|Visvanathan Ramesh, Siemens Corporate Research|Peter Meer, Rutgers University",https://www.semanticscholar.org/paper/2cfa006b33084abe8160b001f9a24944cda25d05,"A new method for real time tracking of non-rigid objects seen from a moving camera is proposed. The central computational module is based on the mean shift iterations and finds the most probable target position in the current frame. The dissimilarity between the target model (its color distribution) and the target candidates is expressed by a metric derived from the Bhattacharyya coefficient. The theoretical analysis of the approach shows that it relates to the Bayesian framework while providing a practical, fast and efficient solution. The capability of the tracker to handle in real time partial occlusions, significant clutter, and target scale variations, is demonstrated for several image sequences."
icml,ICML (Machine Learning),2019,Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations,"Francesco Locatello, ETH Zurich|; et al.|Stefan Bauer, Max Planck Institute|Mario Lucic, Google Research|Gunnar Rätsch, ETH Zurich|Sylvain Gelly, Google Research|Bernhard Schölkopf, Max Planck Institute|Olivier Bachem, Google Research",https://www.semanticscholar.org/paper/9c5c794094fbf5da8c48df5c3242615dc0b1d245,"The key idea behind the unsupervised learning of disentangled representations is that real-world data is generated by a few explanatory factors of variation which can be recovered by unsupervised learning algorithms. In this paper, we provide a sober look at recent progress in the field and challenge some common assumptions. We first theoretically show that the unsupervised learning of disentangled representations is fundamentally impossible without inductive biases on both the models and the data. Then, we train more than 12000 models covering most prominent methods and evaluation metrics in a reproducible large-scale experimental study on seven different data sets. We observe that while the different methods successfully enforce properties ``encouraged'' by the corresponding losses, well-disentangled models seemingly cannot be identified without supervision. Furthermore, increased disentanglement does not seem to lead to a decreased sample complexity of learning for downstream tasks. Our results suggest that future work on disentanglement learning should be explicit about the role of inductive biases and (implicit) supervision, investigate concrete benefits of enforcing disentanglement of the learned representations, and consider a reproducible experimental setup covering several data sets."
icml,ICML (Machine Learning),2019,Rates of Convergence for Sparse Variational Gaussian Process Regression,"David R. Burt, University of Cambridge|; et al.|Carl E. Rasmussen, University of Cambridge|Mark van der Wilk, PROWLER.io",https://www.semanticscholar.org/paper/ef78947a3c17bb8428080e35776275dce97139f0,"Excellent variational approximations to Gaussian process posteriors have been developed which avoid the $\mathcal{O}\left(N^3\right)$ scaling with dataset size $N$. They reduce the computational cost to $\mathcal{O}\left(NM^2\right)$, with $M\ll N$ being the number of inducing variables, which summarise the process. While the computational cost seems to be linear in $N$, the true complexity of the algorithm depends on how $M$ must increase to ensure a certain quality of approximation. We address this by characterising the behavior of an upper bound on the KL divergence to the posterior. We show that with high probability the KL divergence can be made arbitrarily small by growing $M$ more slowly than $N$. A particular case of interest is that for regression with normally distributed inputs in D-dimensions with the popular Squared Exponential kernel, $M=\mathcal{O}(\log^D N)$ is sufficient. Our results show that as datasets grow, Gaussian process posteriors can truly be approximated cheaply, and provide a concrete rule for how to increase $M$ in continual learning scenarios."
icml,ICML (Machine Learning),2018,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,"Anish Athalye, Massachusetts Institute of Technology|; et al.|Nicholas Carlini, University of California, Berkeley|David Wagner, University of California, Berkeley",https://www.semanticscholar.org/paper/651adaa058f821a890f2c5d1053d69eb481a8352,"We identify obfuscated gradients as a phenomenon that leads to a false sense of security in defenses against adversarial examples. While defenses that cause obfuscated gradients appear to defeat optimization-based attacks, we find defenses relying on this effect can be circumvented. 
For each of the three types of obfuscated gradients we discover, we describe indicators of defenses exhibiting this effect and develop attack techniques to overcome it. In a case study, examining all defenses accepted to ICLR 2018, we find obfuscated gradients are a common occurrence, with 7 of 8 defenses relying on obfuscated gradients. Using our new attack techniques, we successfully circumvent all 7 of them."
icml,ICML (Machine Learning),2018,Delayed Impact of Fair Machine Learning,"Lydia T. Liu, University of California, Berkeley|; et al.|Sarah Dean, University of California, Berkeley|Esther Rolf, University of California, Berkeley|Max Simchowitz, University of California, Berkeley|Moritz Hardt, University of California, Berkeley",https://www.semanticscholar.org/paper/4f2baff3195b6fc43a38e3e869496dab9fe9dbc3,"Fairness in machine learning has predominantly been studied in static classification settings without concern for how decisions change the underlying population over time. Conventional wisdom suggests that fairness criteria promote the long-term well-being of those groups they aim to protect. 
We study how static fairness criteria interact with temporal indicators of well-being, such as long-term improvement, stagnation, and decline in a variable of interest. We demonstrate that even in a one-step feedback model, common fairness criteria in general do not promote improvement over time, and may in fact cause harm in cases where an unconstrained objective would not. 
We completely characterize the delayed impact of three standard criteria, contrasting the regimes in which these exhibit qualitatively different behavior. In addition, we find that a natural form of measurement error broadens the regime in which fairness criteria perform favorably. 
Our results highlight the importance of measurement and temporal modeling in the evaluation of fairness criteria, suggesting a range of new challenges and trade-offs."
icml,ICML (Machine Learning),2017,Understanding Black-box Predictions via Influence Functions,"Pang Wei Koh & Percy Liang, Stanford University",https://www.semanticscholar.org/paper/08ad8fad21f6ec4cda4d56be1ca5e146b7c913a1,"How can we explain the predictions of a black-box model? In this paper, we use influence functions — a classic technique from robust statistics — to trace a model's prediction through the learning algorithm and back to its training data, thereby identifying training points most responsible for a given prediction. To scale up influence functions to modern machine learning settings, we develop a simple, efficient implementation that requires only oracle access to gradients and Hessian-vector products. We show that even on non-convex and non-differentiable models where the theory breaks down, approximations to influence functions can still provide valuable information. On linear models and convolutional neural networks, we demonstrate that influence functions are useful for multiple purposes: understanding model behavior, debugging models, detecting dataset errors, and even creating visually-indistinguishable training-set attacks."
icml,ICML (Machine Learning),2016,Pixel Recurrent Neural Networks,"Aaron Van den Oord, Google|; et al.|Nal Kalchbrenner, Google|Koray Kavukcuoglu, Google",https://www.semanticscholar.org/paper/41f1d50c85d3180476c4c7b3eea121278b0d8474,"Modeling the distribution of natural images is a landmark problem in unsupervised learning. This task requires an image model that is at once expressive, tractable and scalable. We present a deep neural network that sequentially predicts the pixels in an image along the two spatial dimensions. Our method models the discrete probability of the raw pixel values and encodes the complete set of dependencies in the image. Architectural novelties include fast two-dimensional recurrent layers and an effective use of residual connections in deep recurrent networks. We achieve log-likelihood scores on natural images that are considerably better than the previous state of the art. Our main results also provide benchmarks on the diverse ImageNet dataset. Samples generated from the model appear crisp, varied and globally coherent."
icml,ICML (Machine Learning),2016,Dueling Network Architectures for Deep Reinforcement Learning,"Ziyu Wang, Google|; et al.|Tom Schaul, Google|Matteo Hessel, Google|Hado van Hasselt, Google|Marc Lanctot, Google|Nando de Freitas, University of Oxford",https://www.semanticscholar.org/paper/4c05d7caa357148f0bbd61720bdd35f0bc05eb81,"In recent years there have been many successes of using deep representations in reinforcement learning. Still, many of these applications use conventional architectures, such as convolutional networks, LSTMs, or auto-encoders. In this paper, we present a new neural network architecture for model-free reinforcement learning. Our dueling network represents two separate estimators: one for the state value function and one for the state-dependent action advantage function. The main benefit of this factoring is to generalize learning across actions without imposing any change to the underlying reinforcement learning algorithm. Our results show that this architecture leads to better policy evaluation in the presence of many similar-valued actions. Moreover, the dueling architecture enables our RL agent to outperform the state-of-the-art on the Atari 2600 domain."
icml,ICML (Machine Learning),2016,Ensuring Rapid Mixing and Low Bias for Asynchronous Gibbs Sampling,"Christopher De Sa, Stanford University|; et al.|Chris Re, Stanford University|Kunle Olukotun, Stanford University",https://www.semanticscholar.org/paper/5acd38bf0d012d569099eee391358ced154fe144,"Gibbs sampling is a Markov chain Monte Carlo technique commonly used for estimating marginal distributions. To speed up Gibbs sampling, there has recently been interest in parallelizing it by executing asynchronously. While empirical results suggest that many models can be efficiently sampled asynchronously, traditional Markov chain analysis does not apply to the asynchronous case, and thus asynchronous Gibbs sampling is poorly understood. In this paper, we derive a better understanding of the two main challenges of asynchronous Gibbs: bias and mixing time. We show experimentally that our theoretical results match practical outcomes."
icml,ICML (Machine Learning),2015,Optimal and Adaptive Algorithms for Online Boosting,"Alina Beygelzimer, Yahoo! Research|; et al.|Satyen Kale, Yahoo! Research|Haipeng Luo, Princeton University",https://www.semanticscholar.org/paper/6eb5c71aeaf2588a965ad48b48ae827988c4a061,"We study online boosting, the task of converting any weak online learner into a strong online learner. Based on a novel and natural definition of weak online learnability, we develop two online boosting algorithms. The first algorithm is an online version of boost-by-majority. By proving a matching lower bound, we show that this algorithm is essentially optimal in terms of the number of weak learners and the sample complexity needed to achieve a specified accuracy. The second algorithm is adaptive and parameter-free, albeit not optimal."
icml,ICML (Machine Learning),2015,A Nearly-Linear Time Framework for Graph-Structured Sparsity,"Chinmay Hegde, Massachusetts Institute of Technology|; et al.|Piotr Indyk, Massachusetts Institute of Technology|Ludwig Schmid, Massachusetts Institute of Technology",https://www.semanticscholar.org/paper/e74a1e87a0cbac606a81e9b5f8695d828c07f966,"We introduce a framework for sparsity structures defined via graphs. Our approach is flexible and generalizes several previously studied sparsity models. Moreover, we provide efficient projection algorithms for our sparsity model that run in nearly-linear time. In the context of sparse recovery, we show that our framework achieves an information-theoretically optimal sample complexity for a wide range of parameters. We complement our theoretical analysis with experiments demonstrating that our algorithms also improve on prior work in practice."
icml,ICML (Machine Learning),2014,Understanding the Limiting Factors of Topic Modeling via Posterior Contraction Analysis,"Jian Tang, Peking University|; et al.|Zhaoshi Meng, University of Michigan|XuanLong Nguyen, University of Michigan|Qiaozhu Mei, University of Michigan|Ming Zhang, Peking University",https://www.semanticscholar.org/paper/9975e9b3c1ab964f86bf4a553ce23cec43b567bc,"Topic models such as the latent Dirichlet allocation (LDA) have become a standard staple in the modeling toolbox of machine learning. They have been applied to a vast variety of data sets, contexts, and tasks to varying degrees of success. However, to date there is almost no formal theory explicating the LDA's behavior, and despite its familiarity there is very little systematic analysis of and guidance on the properties of the data that affect the inferential performance of the model. This paper seeks to address this gap, by providing a systematic analysis of factors which characterize the LDA's performance. We present theorems elucidating the posterior contraction rates of the topics as the amount of data increases, and a thorough supporting empirical study using synthetic and real data sets, including news and web-based articles and tweet messages. Based on these results we provide practical guidance on how to identify suitable data sets for topic models, and how to specify particular model parameters."
